,TEAM,YEAR,W,L,FINISH,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,FLD%,RA/G,ERA,CG,TSHO,SV,IP,H_A,R_A,ER,HR_A,BB_A,KS,WHIP,SO9,HR9,PAGE
1,PHI,2021,82,80,2,162,37.6,33.12,4.53,7.95,1.62,0.15,1.22,4.32,0.48,0.12,3.48,8.65,0.24,0.318,0.408,0.726,0.58,0.88,0.984,4.6,4.39,0.03,0.07,0.22,8.2,8.15,4.6,4.27,1.23,3.14,9.14,1.29,9.39,1.27,28.8
2,PHI,2020,28,32,3,60,37.1,32.47,5.1,8.33,1.5,0.17,1.37,4.82,0.58,0.13,3.82,8.0,0.257,0.342,0.439,0.781,0.58,0.95,0.983,5.18,5.14,0.05,0.08,0.18,8.28,9.17,5.18,4.73,1.33,3.08,8.87,1.479,9.63,1.45,29.1
3,PHI,2019,81,81,4,162,38.6,34.39,4.78,8.45,1.92,0.16,1.33,4.58,0.48,0.11,3.47,8.97,0.246,0.319,0.427,0.746,0.6,0.84,0.984,4.9,4.53,0.02,0.04,0.22,8.97,8.96,4.9,4.51,1.59,3.37,8.59,1.374,8.62,1.6,28.4
4,PHI,2018,80,82,3,162,37.9,33.48,4.18,7.85,1.49,0.19,1.15,4.03,0.43,0.16,3.59,9.38,0.234,0.314,0.393,0.707,0.76,0.85,0.979,4.49,4.14,0.0,0.07,0.27,8.92,8.43,4.49,4.1,1.06,3.09,9.04,1.291,9.12,1.06,26.8
5,PHI,2017,66,96,5,162,37.9,34.17,4.26,8.53,1.77,0.22,1.07,4.04,0.36,0.15,3.05,8.75,0.25,0.315,0.409,0.724,0.51,0.9,0.986,4.83,4.55,0.01,0.04,0.2,8.9,9.08,4.83,4.5,1.36,3.25,8.08,1.387,8.18,1.38,26.8
6,PHI,2016,71,91,4,162,37.0,33.54,3.77,8.06,1.43,0.22,0.99,3.54,0.59,0.28,2.62,8.49,0.24,0.301,0.384,0.685,0.6,0.88,0.984,4.91,4.63,0.02,0.07,0.27,8.87,9.06,4.91,4.56,1.31,2.88,8.02,1.346,8.14,1.33,26.3
7,PHI,2015,63,99,5,162,37.4,34.13,3.86,8.48,1.68,0.23,0.8,3.62,0.54,0.2,2.39,7.86,0.249,0.303,0.382,0.685,0.72,0.9,0.981,4.99,4.69,0.01,0.04,0.22,8.87,9.83,4.99,4.62,1.18,3.01,7.12,1.448,7.22,1.2,28.5
8,PHI,2014,73,89,5,162,38.3,34.59,3.82,8.37,1.55,0.17,0.77,3.6,0.67,0.16,2.73,8.06,0.242,0.302,0.363,0.665,0.51,0.82,0.987,4.24,3.79,0.01,0.07,0.25,9.06,8.62,4.24,3.82,0.83,3.22,7.75,1.306,7.69,0.82,30.1
9,PHI,2013,73,89,4,162,37.1,33.68,3.77,8.36,1.57,0.2,0.86,3.57,0.45,0.18,2.57,7.44,0.248,0.306,0.384,0.69,0.6,0.87,0.984,4.62,4.32,0.04,0.02,0.2,8.87,9.04,4.62,4.25,0.94,3.12,7.4,1.372,7.51,0.95,28.7
10,PHI,2012,81,81,3,162,38.1,34.22,4.22,8.73,1.67,0.17,0.98,4.07,0.72,0.14,2.8,6.75,0.255,0.317,0.4,0.717,0.62,0.73,0.983,4.2,3.83,0.03,0.07,0.26,8.96,8.56,4.2,3.81,1.1,2.52,8.55,1.237,8.59,1.1,29.1
11,PHI,2011,102,60,1,162,38.8,34.44,4.4,8.7,1.59,0.23,0.94,4.28,0.59,0.15,3.33,6.32,0.253,0.323,0.395,0.718,0.46,0.83,0.988,3.27,3.02,0.11,0.13,0.29,9.12,8.15,3.27,3.06,0.74,2.49,8.02,1.167,7.92,0.73,29.2
12,PHI,2010,97,65,1,162,38.8,34.45,4.77,8.96,1.79,0.21,1.02,4.54,0.67,0.13,3.46,6.57,0.26,0.332,0.413,0.745,0.51,0.98,0.986,3.95,3.67,0.09,0.13,0.25,8.99,8.65,3.95,3.67,1.04,2.57,7.3,1.248,7.31,1.04,31.1
13,PHI,2009,93,69,1,162,39.1,34.43,5.06,8.88,1.93,0.22,1.38,4.86,0.73,0.17,3.64,7.13,0.258,0.334,0.447,0.781,0.47,0.81,0.987,4.38,4.16,0.05,0.06,0.27,8.99,9.13,4.38,4.15,1.17,3.02,7.12,1.352,7.13,1.17,31.2
14,PHI,2008,92,70,1,162,38.7,34.01,4.93,8.69,1.8,0.22,1.32,4.7,0.84,0.15,3.62,6.9,0.255,0.332,0.438,0.77,0.56,0.88,0.985,4.2,3.88,0.02,0.07,0.29,8.95,8.91,4.2,3.86,0.99,3.29,6.67,1.364,6.71,0.99,30.6
15,PHI,2007,89,73,1,162,40.4,35.11,5.51,9.62,2.01,0.25,1.31,5.25,0.85,0.12,3.96,7.44,0.274,0.354,0.458,0.812,0.55,1.0,0.986,5.07,4.73,0.03,0.03,0.26,9.0,9.6,5.07,4.73,1.22,3.44,6.48,1.449,6.48,1.22,30.6
16,PHI,2006,85,77,2,162,40.2,35.1,5.34,9.37,1.81,0.25,1.33,5.08,0.57,0.15,3.86,7.43,0.267,0.347,0.447,0.794,0.64,0.94,0.983,5.01,4.6,0.02,0.04,0.26,9.01,9.64,5.01,4.61,1.3,3.16,7.02,1.42,7.01,1.3,30.5
17,PHI,2005,88,74,2,162,39.2,34.21,4.98,9.22,1.74,0.22,1.03,4.69,0.72,0.17,3.94,6.69,0.27,0.348,0.423,0.771,0.56,0.81,0.985,4.48,4.21,0.02,0.04,0.25,8.86,8.51,4.48,4.15,1.17,3.01,7.15,1.3,7.27,1.19,29.7
18,PHI,2004,86,76,2,162,39.9,34.83,5.19,9.29,1.87,0.14,1.33,4.95,0.62,0.17,3.98,6.99,0.267,0.345,0.443,0.788,0.5,0.88,0.987,4.82,4.45,0.02,0.03,0.27,9.03,9.19,4.82,4.47,1.32,3.1,6.6,1.361,6.58,1.32,29.8
19,PHI,2003,86,76,3,162,39.1,34.22,4.88,8.94,2.01,0.17,1.02,4.67,0.44,0.18,4.02,7.13,0.261,0.343,0.419,0.762,0.6,0.9,0.984,4.3,4.04,0.06,0.08,0.2,8.91,8.56,4.3,4.0,0.88,3.31,6.54,1.331,6.61,0.89,29.0
20,PHI,2002,80,81,3,161,39.3,34.3,4.41,8.87,2.02,0.25,1.02,4.2,0.65,0.27,3.98,6.8,0.259,0.339,0.422,0.761,0.55,0.97,0.986,4.5,4.17,0.03,0.06,0.29,9.0,8.58,4.5,4.17,0.95,3.54,6.68,1.346,6.67,0.95,28.5
21,PHI,2001,86,76,2,162,38.4,33.93,4.6,8.83,1.82,0.18,1.01,4.37,0.94,0.29,3.4,6.94,0.26,0.329,0.414,0.743,0.56,0.9,0.985,4.44,4.15,0.05,0.04,0.29,8.92,8.75,4.44,4.12,1.05,3.25,6.7,1.345,6.76,1.06,28.9
22,PHI,2000,65,97,5,162,38.7,34.02,4.37,8.56,1.88,0.25,0.89,4.12,0.63,0.19,3.77,6.9,0.251,0.329,0.4,0.729,0.62,0.84,0.983,5.12,4.77,0.05,0.04,0.21,8.88,9.0,5.12,4.71,1.24,3.95,6.93,1.458,7.03,1.26,28.7
23,PHI,1999,77,85,3,162,39.4,34.56,5.19,9.5,1.86,0.27,0.99,4.92,0.77,0.22,3.9,6.67,0.275,0.351,0.431,0.782,0.62,0.89,0.983,5.22,4.92,0.07,0.04,0.2,8.88,9.22,5.22,4.86,1.31,3.87,6.36,1.475,6.44,1.33,28.3
