,TEAM,YEAR,W,L,FINISH,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,FLD%,BATAGE,RA/G,ERA,CG,TSHO,SV,IP,H_A,R_A,ER,HR_A,BB_A,KS,WHIP,SO9,HR9,PAGE
1,PHI,2021,82,80,2,4.53,162,6089,5366,734,1288,262,24,198,700,77.0,19.0,564,1402,0.24,0.318,0.408,0.726,94,142,0.984,29.1,4.6,4.39,5,12,36,1418.2,1321,745,692,200,509,1480,1.29,9.39,1.27,28.8
2,PHI,2020,28,32,3,5.1,60,2223,1948,306,500,90,10,82,289,35.0,8.0,229,480,0.257,0.342,0.439,0.781,35,57,0.983,28.5,5.18,5.14,3,5,11,497.0,550,311,284,80,185,532,1.479,9.63,1.45,29.1
3,PHI,2019,81,81,4,4.78,162,6261,5571,774,1369,311,26,215,742,78.0,18.0,562,1453,0.246,0.319,0.427,0.746,97,136,0.984,27.6,4.9,4.53,3,7,36,1453.2,1452,794,731,258,546,1392,1.374,8.62,1.6,28.4
4,PHI,2018,80,82,3,4.18,162,6136,5424,677,1271,241,30,186,653,69.0,26.0,582,1520,0.234,0.314,0.393,0.707,123,138,0.979,26.7,4.49,4.14,0,12,44,1445.2,1366,728,665,171,500,1465,1.291,9.12,1.06,26.8
5,PHI,2017,66,96,5,4.26,162,6133,5535,690,1382,287,36,174,654,59.0,25.0,494,1417,0.25,0.315,0.409,0.723,82,145,0.986,26.6,4.83,4.55,1,7,33,1441.0,1471,782,729,221,527,1309,1.387,8.18,1.38,26.8
6,PHI,2016,71,91,4,3.77,162,5992,5434,610,1305,231,35,161,574,96.0,45.0,424,1376,0.24,0.301,0.384,0.685,97,142,0.984,26.9,4.91,4.63,4,12,43,1437.0,1468,796,739,213,466,1299,1.346,8.14,1.33,26.3
7,PHI,2015,63,99,5,3.86,162,6053,5529,626,1374,272,37,130,586,88.0,32.0,387,1274,0.249,0.303,0.382,0.684,117,145,0.981,28.0,4.99,4.69,1,7,35,1436.1,1592,809,749,191,488,1153,1.448,7.22,1.2,28.5
8,PHI,2014,73,89,5,3.82,162,6198,5603,619,1356,251,27,125,584,109.0,26.0,443,1306,0.242,0.302,0.363,0.665,83,133,0.987,30.8,4.24,3.79,2,12,40,1468.1,1396,687,619,134,521,1255,1.306,7.69,0.82,30.1
9,PHI,2013,73,89,4,3.77,162,6014,5456,610,1355,255,32,140,578,73.0,29.0,417,1205,0.248,0.306,0.384,0.69,97,141,0.984,30.0,4.62,4.32,6,3,32,1436.1,1465,749,689,152,506,1199,1.372,7.51,0.95,28.7
10,PHI,2012,81,81,3,4.22,162,6172,5544,684,1414,271,28,158,659,116.0,23.0,454,1094,0.255,0.317,0.4,0.716,101,118,0.983,31.1,4.2,3.83,5,11,42,1451.1,1387,680,618,178,409,1385,1.237,8.59,1.1,29.1
